"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Description"
"C201,C303","2","22uF","","","","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"C202","1","1uF","","","","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"C301,C601,C603","3","4.7uF","","","","Capacitor_SMD:C_0402_1005Metric","~","","","","Unpolarized capacitor"
"C401","1","100uF","","","","Capacitor_SMD:C_0603_1608Metric","~","","","","Unpolarized capacitor, small symbol"
"C402","1","10uF","","","","Capacitor_SMD:C_0603_1608Metric","~","","","","Unpolarized capacitor, small symbol"
"C403,C501","2","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"C502","1","2.2uF","","","","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"C602,C604","2","100nF","","","","Capacitor_SMD:C_0402_1005Metric","~","","","","Unpolarized capacitor"
"D601","1","PESD5V0S1UL","","","","Diode_SMD:D_SOD-882","https://assets.nexperia.com/documents/data-sheet/PESD5V0S1UL.pdf","","","","Unidirectional ESD protection diode, 5V, SOD-882"
"FB601,FB602","2","FerriteBead","","","","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"H1,H2,H4,H5","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","","Mounting Hole with connection"
"IC201","1","TPS22969DNYT","","","","TPS22969DNYT","http://www.ti.com/lit/gpn/TPS22969","Texas Instruments","TPS22969DNYT","595-TPS22969DNYT","5.5V, 6A, 4.4m Load Switch with Quick Output Discharge"
"IC601","1","ATSAMD11D14A-MUT","","","","Footprints:QFN50P400X400X90-25N-D","https://datasheet.datasheetarchive.com/originals/distributors/DKDS41/DSANUWW0026705.pdf","Microchip","ATSAMD11D14A-MUT","556-ATSAMD11D14A-MUT","ARM Microcontrollers - MCU IC MCU 32 BIT 16KB Flash 24QFN"
"J601","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","","USB 2.0-only 14P Type-C Receptacle connector"
"J602","1","Conn_ARM_JTAG_SWD_10","","","","Connector_PinHeader_1.00mm:PinHeader_2x05_P1.00mm_Vertical_SMD","http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf","","","","Cortex Debug Connector, standard ARM Cortex-M SWD and JTAG interface"
"L301","1","1uH","","","","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"Q501","1","Si2319CDS","","","","Package_TO_SOT_SMD:SOT-23","http://www.vishay.com/docs/66709/si2319cd.pdf","","","","-4.4A Id, -40V Vds, P-Channel MOSFET, SOT-23"
"R302,R310,R312,R314,R402,R403,R405","7","0","","","","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"R304","1","453k","","","","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"R305","1","100k","","","","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"R319","1","0","DNP","","","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"R401,R404","2","3.3k","","","","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"R501","1","2.7k","","","","Resistor_SMD:R_0402_1005Metric","~","","","","Resistor, US symbol"
"R502","1","1k","","","","Resistor_SMD:R_0402_1005Metric","~","","","","Resistor, US symbol"
"R601,R602","2","5.1 k","","","","Resistor_SMD:R_0402_1005Metric","~","","","","Resistor, US symbol"
"TP401,TP402,TP403,TP501,TP502,TP503,TP504,TP505,TP506,TP507,TP508,TP509,TP510,TP601,TP602,TP603,TP604,TP605,TP606,TP607,TP608,TP609,TP610","23","TestPoint","","Excluded from BOM","","TestPoint:TestPoint_Pad_D1.5mm","~","","","","test point"
"U301","1","TLV62568ADRL","","","","Package_TO_SOT_SMD:SOT-563","https://www.ti.com/lit/gpn/tlv62568a","","","","High Efficiency Synchronous Buck Converter with forced PWM, Adjustable Output 0.6V-5.5V, 1A, SOT-563-6"
"U401","1","Raspberry Pi Zero 2 W","","","","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","","","","",""
"U501","1","VCNL4200","","","","Footprints:SMT_L4200_VIS","VCNL4200","","","",""
"U601","1","TPD4E05U06DQA","","","","Package_SON:USON-10_2.5x1.0mm_P0.5mm","https://www.ti.com/lit/ds/symlink/tpd4e05u06.pdf","","","","4-Channel ESD Protection for Super-Speed USB 3.0 Interface, USON-10"
